name,modulation scores in center vs quad 4,p-values in center vs quad 4,modulation in center vs quad 4,modulation scores in center vs quad 1,p-values in center vs quad 1,modulation in center vs quad 1,modulation scores in center vs quad 2,p-values in center vs quad 2,modulation in center vs quad 2,modulation scores in quad 4 vs quad 1,p-values in quad 4 vs quad 1,modulation in quad 4 vs quad 1,modulation scores in quad 4 vs quad 2,p-values in quad 4 vs quad 2,modulation in quad 4 vs quad 2,modulation scores in quad 1 vs quad 2,p-values in quad 1 vs quad 2,modulation in quad 1 vs quad 2,mean Activity (a.u.) in center,mean Activity (a.u.) in quad 4,mean Activity (a.u.) in quad 1,mean Activity (a.u.) in quad 2
C000,0.019871987378854577,0.44,1.0,-0.031107439702875023,0.5,-1.0,0.011517221216306108,0.4,1.0,-0.05094793276884804,0.42,-1.0,-0.008356678756239234,0.41,-1.0,0.04260939519728289,0.48,1.0,8.369879000197308,7.970342314725475,9.028218131138283,8.136406652438335
C001,0.18832907779005317,0.12,1.0,0.019324551069832763,0.35,1.0,-0.11690258853269618,0.12,-1.0,-0.1696218441993853,0.12,-1.0,-0.2986564002191626,0.05,-1.0,-0.13592008389445498,0.07,-1.0,6.504229892615416,3.1018761857354304,6.097228651014135,9.346166073129726
C002,0.10990661965528767,0.13,0.0,0.171532876796218,0.29,0.0,0.29292435247226617,0.32,0.0,-0.19630318360629795,0.12,0.0,-0.19312987181548025,0.17,0.0,0.22218203777067938,0.27,0.0,5.85399736904184,5.233389980957467,2.3245962257405246,10.605389352455393
C003,0.005655029994964055,0.41,0.0,0.18965702861616165,0.08,0.0,0.023321088577223724,0.31,0.0,-0.24620867372259003,0.33,0.0,0.05123131701768233,0.3,0.0,0.11809515344563401,0.03,1.0,10.096005671011053,12.775038712214373,14.930767713625473,13.106094919296877
C004,0.13786475648562158,0.08,0.0,0.13655759357962471,0.3,0.0,-0.05209567597309219,0.42,0.0,0.04810032519283742,0.19,0.0,0.067515295502578,0.42,0.0,0.17116231873548107,0.32,0.0,12.206826369250235,10.16154797057416,1.0758569332389119,3.735229019002855
C005,-0.2480044290933504,0.4,0.0,-0.18355540273352533,0.22,0.0,-0.24778401374531453,0.15,0.0,0.28951697839232277,0.32,0.0,-0.12696999817531207,0.28,0.0,0.1349642758775776,0.09,0.0,8.328483580747791,0.6072895945514806,5.737538045490557,5.695095473057165
C006,-0.15758711120726707,0.27,0.0,0.17852189352830028,0.36,0.0,0.2269959128718781,0.38,0.0,-0.024591665201283752,0.28,0.0,0.19072752404538104,0.22,0.0,0.08019722127177184,0.38,0.0,6.624347538145244,5.384726784195336,6.5792977601398475,7.653239742993537
C007,-0.16674363191853694,0.37,0.0,-0.06223480106650676,0.22,0.0,0.1453971407022488,0.14,0.0,0.02533069357756339,0.34,0.0,0.11520328758255555,0.33,0.0,0.042221688056189706,0.45,0.0,4.645560513487808,8.209259380718468,3.6778543459594957,9.266516139291388
C008,-0.11279062222309381,0.49,0.0,0.07021319128115507,0.39,0.0,-0.016655973196440965,0.4,0.0,-0.0640275968921828,0.36,0.0,-0.2516484691197625,0.03,-1.0,-2.8265935847593404e-05,0.35,0.0,2.5003411943054448,6.814328815197131,6.101038393225458,7.132766364793416
C009,0.08949521766858705,0.42,0.0,0.2542615998420384,0.05,0.0,-0.05792496426483642,0.2,0.0,0.27555473197846453,0.24,0.0,0.16881818409661054,0.19,0.0,0.19540272400904293,0.47,0.0,5.973059018774111,2.1538560086991665,9.478504241483767,8.81314693343556
