name,modulation scores in center vs quad 4,p-values in center vs quad 4,modulation in center vs quad 4,modulation scores in center vs quad 1,p-values in center vs quad 1,modulation in center vs quad 1,modulation scores in center vs quad 2,p-values in center vs quad 2,modulation in center vs quad 2,modulation scores in quad 4 vs quad 1,p-values in quad 4 vs quad 1,modulation in quad 4 vs quad 1,modulation scores in quad 4 vs quad 2,p-values in quad 4 vs quad 2,modulation in quad 4 vs quad 2,modulation scores in quad 1 vs quad 2,p-values in quad 1 vs quad 2,modulation in quad 1 vs quad 2,mean Activity (a.u.) in center,mean Activity (a.u.) in quad 4,mean Activity (a.u.) in quad 1,mean Activity (a.u.) in quad 2
C000,0.019871987378854577,0.44,1.0,-0.031107439702875023,0.5,-1.0,0.011517221216306108,0.4,1.0,-0.05094793276884804,0.42,-1.0,-0.008356678756239234,0.41,-1.0,0.04260939519728289,0.48,1.0,8.369879000197308,7.970342314725475,9.028218131138283,8.136406652438335
C001,0.18832907779005317,0.12,1.0,0.019324551069832763,0.35,1.0,-0.11690258853269618,0.12,-1.0,-0.1696218441993853,0.12,-1.0,-0.2986564002191626,0.05,-1.0,-0.13592008389445498,0.07,-1.0,6.504229892615416,3.1018761857354304,6.097228651014135,9.346166073129726
C002,0.17095964867954117,0.21,0.0,-0.1639860455019074,0.03,-1.0,-0.2968227337947906,0.25,0.0,-0.06339277957769608,0.01,-1.0,-0.029034737202259263,0.34,0.0,-0.049945649322947934,0.26,0.0,14.395188036742281,2.6765641275135343,12.099488817841557,0.9346502179716404
C003,0.2571561430719492,0.02,1.0,0.09224105611040057,0.03,1.0,-0.15302312253698624,0.25,0.0,-0.21552712108591984,0.18,0.0,-0.0018317216946137414,0.15,0.0,-0.018112652525338578,0.3,0.0,9.95297333771172,1.2010500997068023,0.31093005308721056,1.507192423915139
C004,0.2594666213574788,0.22,0.0,-0.23067801404506247,0.13,0.0,-0.021700533920536523,0.41,0.0,-0.014791513280605129,0.35,0.0,-0.25876649584597444,0.02,-1.0,0.2749668185901501,0.14,0.0,8.559725634413253,11.416550053211848,1.3519378711036016,14.459231855272234
C005,-0.2158386792610452,0.46,0.0,-0.0026490926862900777,0.02,-1.0,0.11156710775630989,0.37,0.0,-0.21611160995815243,0.04,-1.0,0.2582564860866439,0.41,0.0,-0.07773849895529196,0.03,-1.0,12.211262115482617,4.584383141895939,8.586498275545798,0.7200755367868594
C006,0.17880076314293913,0.16,0.0,-0.25485280535308724,0.43,0.0,0.11516663000298619,0.12,0.0,-0.2844146391600666,0.36,0.0,-0.28486464490661534,0.39,0.0,-0.16565273185850382,0.1,0.0,5.663968538736242,3.2981064598454672,9.704748181108975,3.630884297992132
C007,-0.17528643220959836,0.46,0.0,0.0679754824967503,0.09,0.0,-0.12374292227152292,0.32,0.0,0.2522563621224059,0.36,0.0,-0.019362630479413556,0.49,0.0,-0.11923642627457447,0.34,0.0,12.19657571271014,0.04401100116121048,3.2180496531182405,4.955529140166194
C008,0.07121809096719985,0.19,0.0,0.01059384635886671,0.44,0.0,0.2859480176155239,0.01,1.0,0.11859527095348374,0.33,0.0,0.27103044098719514,0.05,0.0,-0.2785616976110079,0.1,0.0,14.478296720471368,3.6727771510770566,0.17876458980336574,1.4748163126655096
C009,-0.2889542440693112,0.24,0.0,0.11744863984727447,0.28,0.0,-0.09740611697664374,0.4,0.0,0.12904485131968194,0.46,0.0,-0.03637940955396785,0.39,0.0,0.09672388653105625,0.06,0.0,1.7920700806169836,7.096280234923039,11.503546289434526,8.529808793965909
