name,modulation scores in center vs quad 4,p-values in center vs quad 4,modulation in center vs quad 4,modulation scores in center vs quad 1,p-values in center vs quad 1,modulation in center vs quad 1,modulation scores in center vs quad 2,p-values in center vs quad 2,modulation in center vs quad 2,modulation scores in quad 4 vs quad 1,p-values in quad 4 vs quad 1,modulation in quad 4 vs quad 1,modulation scores in quad 4 vs quad 2,p-values in quad 4 vs quad 2,modulation in quad 4 vs quad 2,modulation scores in quad 1 vs quad 2,p-values in quad 1 vs quad 2,modulation in quad 1 vs quad 2,mean Activity (a.u.) in center,mean Activity (a.u.) in quad 4,mean Activity (a.u.) in quad 1,mean Activity (a.u.) in quad 2
C000,0.019871987378854577,0.44,1.0,-0.031107439702875023,0.5,-1.0,0.011517221216306108,0.4,1.0,-0.05094793276884804,0.42,-1.0,-0.008356678756239234,0.41,-1.0,0.04260939519728289,0.48,1.0,8.369879000197308,7.970342314725475,9.028218131138283,8.136406652438335
C001,0.18832907779005317,0.12,1.0,0.019324551069832763,0.35,1.0,-0.11690258853269618,0.12,-1.0,-0.1696218441993853,0.12,-1.0,-0.2986564002191626,0.05,-1.0,-0.13592008389445498,0.07,-1.0,6.504229892615416,3.1018761857354304,6.097228651014135,9.346166073129726
C002,-0.23386716016865994,0.34,0.0,-0.1995489755155454,0.15,0.0,0.10636422828835738,0.21,0.0,-0.2359651337542441,0.16,0.0,-0.11775083983079412,0.05,0.0,-0.08560290958278767,0.46,0.0,1.4537956275654773,11.301412694309073,5.002275103244983,12.174626278429553
C003,0.16340300705660063,0.39,0.0,0.1545206705628396,0.09,0.0,0.10565721364482523,0.49,0.0,-0.15695292918067538,0.35,0.0,0.16567959632899545,0.23,0.0,-0.08385556100091751,0.31,0.0,9.065855187331287,5.95601487401857,9.762714067266934,13.041014505833187
C004,0.10290779707436028,0.39,0.0,-0.0465699757504862,0.09,0.0,0.15136904643370952,0.39,0.0,-0.12145493146873144,0.13,0.0,0.13569375387778146,0.31,0.0,0.17743636020786427,0.35,0.0,2.586867696705318,9.51045542046822,0.679269562498,2.0715315891882384
C005,0.020867438621576938,0.34,0.0,-0.06607100697549324,0.11,0.0,-0.23423945902357046,0.18,0.0,-0.03129565301435111,0.25,0.0,-0.19060784602056596,0.31,0.0,-0.2965169482778075,0.28,0.0,4.391456324919448,0.5338075928733249,8.979398124563316,3.3563996122989965
C006,-0.059311201645923295,0.31,0.0,0.08001612187116877,0.31,0.0,-0.14925490920039308,0.31,0.0,-0.04306059218810554,0.04,-1.0,0.16528936791293802,0.22,0.0,-0.1638914345102123,0.18,0.0,2.4542260597613312,8.651659896807475,14.80773061088484,8.60678999171798
C007,0.0889962689653369,0.16,0.0,0.18424120337090713,0.26,0.0,-0.17199004106988586,0.08,0.0,0.21113018782993934,0.18,0.0,-0.006516457708510747,0.12,0.0,0.22206883760491586,0.16,0.0,7.522053894127642,2.5382936822535913,1.8230485042799616,10.88224397418475
C008,-0.25429704665794034,0.15,0.0,-0.055520564344173275,0.4,0.0,-0.07187476564858283,0.4,0.0,0.19311353589982852,0.44,0.0,0.06434466114178851,0.42,0.0,0.088209488351792,0.2,0.0,5.354741501529797,9.957243014042927,8.701873501016948,10.371871500773649
C009,0.044967337724660196,0.28,0.0,0.08954671368007414,0.37,0.0,-0.25948324064257094,0.47,0.0,-0.12439579290448818,0.46,0.0,0.2899524925409783,0.03,1.0,0.01930590024939094,0.41,0.0,14.508484498180586,10.586601399440386,5.1144096638825385,3.086204706317908
